VR_VR-1-15_Variable	VR_VR-2-70_Variable	VR_VR-3-61_Variable	VR_VR-4-7_Variable	VR_VR-5-69_Variable	VR_VR-6-43_Variable	VR_VR-7-99_Variable	VR_VR-8-29_Variable	VR_VR-9-25_Variable	VR_VR-10-56_Variable	VR_VR-11-17_Variable	VR_VR-12-69_Variable	VR_VR-13-18_Variable	VR_VR-14-2_Variable	VR_VR-15-18_Variable	VR_VR-16-9_Variable	VR_VR-17-40_Variable	VR_VR-18-70_Variable	VR_VR-19-88_Variable	VR_VR-20-31_Variable	VR_VR-21-19_Variable	VR_VR-22-55_Variable	VR_VR-23-65_Variable	VR_VR-24-43_Variable	VR_VR-25-87_Variable	VR_VR-26-87_Variable	VR_VR-27-10_Variable	VR_VR-28-6_Variable	VR_VR-29-60_Variable	VR_VR-30-44_Variable	VR_VR-31-60_Variable	pFC53_derived_construct	pFC9_SNRPN_frag	ref_name
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	T7_init_VR-28.gb
0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	pFC53TVR-4-pair_0.gb
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	pFC53TVR-24-pair_0.gb
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	T7_init_VR-19.gb
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	pFC9.gb
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	T7_init_VR-21.gb
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	T7_init_VR-20.gb
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	T7_init_VR-18.gb
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	T7_init_VR-22.gb
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	pFC53TVR-30-pair_0.gb
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	T7_init_VR-23.gb
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	pFC53TVR-18-pair_0.gb
